,city,Temp_avg,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
285,Santa Cruz,25,27,26,26,25,22,21,21,23,25,26,27,27
286,Matola,,,,,,,,,,,,,
287,Gaziantep,16,4,6,9,14,19,25,29,29,24,18,11,6
288,Sharjah,,,,,,,,,,,,,
289,Phoenix,24,14,16,19,23,28,33,35,34,32,25,18,13
290,Lyon,13,4,5,9,12,16,20,22,22,18,14,8,4
291,Meerut,26,14,18,23,29,33,33,32,31,30,27,21,16
292,Jiangmen,,,,,,,,,,,,,
293,Can Tho,9,-5,-5,0,7,14,19,22,21,17,10,4,-1
294,Raipur,28,21,24,29,32,35,32,28,28,28,27,24,22
295,Varanasi,26,16,20,25,31,33,34,31,30,30,27,23,18
296,Xiangyang,,,,,,,,,,,,,
297,Mosul,19,7,9,12,17,23,30,33,32,28,22,14,8
298,Glasgow,9,4,4,6,8,11,13,15,15,12,9,6,4
299,Novosibirsk,1,-20,-17,-6,4,10,17,19,16,10,3,-7,-14
300,Shiraz,22,10,12,16,21,27,31,33,32,28,23,16,12
301,La Laguna,17,13,15,16,18,19,19,18,18,18,17,15,14
302,Cixi,,,,,,,,,,,,,
303,Stockholm,7,-1,-1,1,6,11,15,18,17,12,7,3,0
304,Anshan,8,-11,-6,1,9,17,21,24,24,18,10,0,-8
305,Auckland,15,20,20,19,16,14,12,11,12,13,14,16,18
306,Jamshedpur,27,19,22,27,31,32,31,29,29,29,27,23,19
307,Tabriz,13,-1,1,6,12,17,23,27,27,22,15,7,2
308,Yinchuan,10,-7,-2,5,13,18,23,25,23,17,11,3,-5
309,Jilin,5,-18,-12,-3,7,15,20,23,22,15,7,-4,-14
310,Srinagar,14,3,6,11,14,19,22,24,24,20,15,9,5
311,Batam,28,27,27,28,28,28,28,28,28,28,28,27,27
312,Ulaanbaatar,-1,-22,-17,-8,2,9,15,18,16,9,0,-12,-20
313,Marseille,16,7,8,11,14,18,22,25,25,21,17,11,8
314,Makassar,27,27,27,27,28,28,27,27,27,28,28,28,27
315,Yichang,,,,,,,,,,,,,
316,Aurangabad,26,21,24,28,31,33,29,26,26,26,26,24,22
317,Muscat,29,22,23,26,30,34,34,32,30,31,31,27,24
318,Qinhuangdao,10,-7,-3,3,11,18,22,25,24,18,11,2,-5
319,Philadelphia,13,1,2,6,12,18,23,26,25,21,14,9,4
320,Cordoba,18,24,23,21,18,14,12,11,13,15,19,21,23
321,Qiqihaer,,,,,,,,,,,,,
322,Xining,7,-7,-3,3,8,12,16,18,17,13,8,1,-5
323,Karaj,18,5,7,11,17,23,28,31,30,26,20,12,7
324,San Antonio,21,11,14,17,21,25,28,30,30,27,22,16,12
325,Calgary,5,-6,-5,-1,5,10,14,17,16,12,6,-2,-6
326,Hengyang,,,,,,,,,,,,,
327,Daejon,,,,,,,,,,,,,
328,Monrovia,27,27,28,28,28,28,27,25,25,26,27,27,27
329,Tiruppur,27,25,27,29,30,29,28,27,27,27,27,26,25
330,Rosario,18,25,24,22,18,14,12,11,13,15,18,21,24
331,Munich,9,0,0,4,9,13,17,19,18,14,10,5,1
332,Gaoxiong,,,,,,,,,,,,,
333,Harare,20,22,22,21,20,17,15,15,17,20,22,23,22
334,Ciudad Juarez,20,9,12,17,21,25,31,29,29,25,21,14,9
335,Anyang,,,,,,,,,,,,,
336,Kananga,24,24,24,24,25,24,24,24,25,25,25,24,25
337,Gwangju,15,1,3,8,13,19,24,26,27,23,17,10,3
338,Suqian,,,,,,,,,,,,,
339,Jining Shandong,,,,,,,,,,,,,
340,Medina,29,18,21,24,29,33,36,36,37,35,30,24,20
341,Yekaterinburg,3,-13,-12,-4,4,12,17,19,16,10,3,-6,-11
342,Abu Dhabi,,,,,,,,,,,,,
343,Jodhpur,26,16,20,25,30,34,34,31,29,29,28,22,18
344,Grande Sao Luis,22,25,25,24,23,20,19,19,20,21,23,23,24
345,Edmonton,5,-8,-8,-3,5,12,16,19,18,13,6,-4,-10
346,Natal,27,28,28,28,28,27,26,25,25,26,27,27,28
347,Tegucigalpa,23,20,21,23,24,24,24,23,24,23,23,21,21
348,Onitsha,,,,,,,,,,,,,
349,N-Djamena,,,,,,,,,,,,,
350,Ranchi,24,17,20,24,29,30,29,26,26,26,24,21,17
351,Kathmandu,19,11,14,17,21,23,25,25,25,24,21,16,12
352,Jabalpur,26,17,21,26,31,34,32,28,27,28,26,22,19
353,Mandalay,29,23,25,29,32,32,31,31,30,30,29,27,23
354,Zhangjiakou,,,,,,,,,,,,,
355,Huainan,16,2,5,10,16,22,25,28,27,22,18,10,4
356,Asansol,27,19,22,27,31,32,31,29,29,29,27,23,19
357,Chaozhou,,,,,,,,,,,,,
358,Kota,26,17,20,25,31,34,32,28,27,28,26,22,19
359,San Diego,18,14,15,15,17,18,19,21,22,21,19,17,14
360,Kharkiv,8,-4,-4,1,10,16,20,22,20,15,8,2,-3
361,San Jose,23,22,23,24,24,24,24,23,23,23,23,23,23
362,Chon Buri,27,23,26,28,30,30,29,29,28,28,27,26,23
363,Allahabad,,,,,,,,,,,,,
364,Gwalior,26,15,19,25,30,35,34,31,30,30,27,22,17
365,Ottawa,7,-10,-8,-2,6,14,19,21,20,15,8,2,-5
