,Unnamed: 0,city,area,unit,url
374,374,Queretaro,363,km2,https://www.google.com/search?q=Queretaro+surface+area
375,375,Taian Shandong,7.762,km2,https://www.google.com/search?q=Taian+Shandong+surface+area
376,376,Homs,48,km2,https://www.google.com/search?q=Homs+surface+area
377,377,Copenhagen,88.25,km2,https://www.google.com/search?q=Copenhagen+surface+area
378,378,Konya,38.873,km2,https://www.google.com/search?q=Konya+surface+area
380,380,Dhanbad,275,km2,https://www.google.com/search?q=Dhanbad+surface+area
382,382,Dallas,620.4,km2,https://www.google.com/search?q=Dallas+surface+area
383,383,Ganzhou,7.434,km2,https://www.google.com/search?q=Ganzhou+surface+area
384,384,Adelaide,3.260,km2,https://www.google.com/search?q=Adelaide+surface+area
385,385,Hai Phong,1.562,km2,https://www.google.com/search?q=Hai+Phong+surface+area
386,386,Mombasa,294.7,km2,https://www.google.com/search?q=Mombasa+surface+area
389,389,Cochabamba,291,km2,https://www.google.com/search?q=Cochabamba+surface+area
390,390,Niamey,239.3,km2,https://www.google.com/search?q=Niamey+surface+area
394,394,Jiaxing,4.009,km2,https://www.google.com/search?q=Jiaxing+surface+area
396,396,Helsinki,213.8,km2,https://www.google.com/search?q=Helsinki+surface+area
397,397,Porto,41.42,km2,https://www.google.com/search?q=Porto+surface+area
398,398,Zhanjiang,13.225,km2,https://www.google.com/search?q=Zhanjiang+surface+area
401,401,Kisangani,1.910,km2,https://www.google.com/search?q=Kisangani+surface+area
402,402,Prague,496,km2,https://www.google.com/search?q=Prague+surface+area
403,403,Dongying,7.923,km2,https://www.google.com/search?q=Dongying+surface+area
405,405,Mianyang Sichuan,20.267,km2,https://www.google.com/search?q=Mianyang+Sichuan+surface+area
406,406,Nanchong,12.480,km2,https://www.google.com/search?q=Nanchong+surface+area
407,407,Fushun Liaoning,11.272,km2,https://www.google.com/search?q=Fushun+Liaoning+surface+area
408,408,Antalya,1.417,km2,https://www.google.com/search?q=Antalya+surface+area
409,409,Bareilly,106,km2,https://www.google.com/search?q=Bareilly+surface+area
412,412,Kazan,515.8,km2,https://www.google.com/search?q=Kazan+surface+area
413,413,Ad-Dammam,800,km2,https://www.google.com/search?q=Ad-Dammam+surface+area
414,414,Port Elizabeth,251,km2,https://www.google.com/search?q=Port+Elizabeth+surface+area
415,415,Ahvaz,185,km2,https://www.google.com/search?q=Ahvaz+surface+area
417,417,Florianopolis,675.4,km2,https://www.google.com/search?q=Florianopolis+surface+area
418,418,Nizhniy Novgorod,460,km2,https://www.google.com/search?q=Nizhniy+Novgorod+surface+area
419,419,Pointe-Noire,43.7,km2,https://www.google.com/search?q=Pointe-Noire+surface+area
424,424,Dublin,117.8,km2,https://www.google.com/search?q=Dublin+surface+area
425,425,Maoming,11.425,km2,https://www.google.com/search?q=Maoming+surface+area
429,429,Freetown,81.48,km2,https://www.google.com/search?q=Freetown+surface+area
430,430,San Luis Potosi,385,km2,https://www.google.com/search?q=San+Luis+Potosi+surface+area
431,431,Mysore,155,km2,https://www.google.com/search?q=Mysore+surface+area
432,432,Chelyabinsk,530,km2,https://www.google.com/search?q=Chelyabinsk+surface+area
433,433,Moradabad,79,km2,https://www.google.com/search?q=Moradabad+surface+area
434,434,Barquisimeto,353,km2,https://www.google.com/search?q=Barquisimeto+surface+area
435,435,Durg-Bhilainagar,182,km2,https://www.google.com/search?q=Durg-Bhilainagar+surface+area
436,436,Suzhou,8.488,km2,https://www.google.com/search?q=Suzhou+surface+area
437,437,Maracay,311.6,km2,https://www.google.com/search?q=Maracay+surface+area
438,438,Astana,722,km2,https://www.google.com/search?q=Astana+surface+area
440,440,Ruian,17.130.000,km2,https://www.google.com/search?q=Ruian+surface+area
441,441,Uyo,362,km2,https://www.google.com/search?q=Uyo+surface+area
442,442,Zhenjiang Jiangsu,3.837,km2,https://www.google.com/search?q=Zhenjiang+Jiangsu+surface+area
443,443,Baoji,18.712,km2,https://www.google.com/search?q=Baoji+surface+area
446,446,Bhubaneswar,422,km2,https://www.google.com/search?q=Bhubaneswar+surface+area
447,447,Pingdingshan Henan,7.882,km2,https://www.google.com/search?q=Pingdingshan+Henan+surface+area
449,449,Mendoza,54,km2,https://www.google.com/search?q=Mendoza+surface+area
451,451,Chiang Mai,40.22,km2,https://www.google.com/search?q=Chiang+Mai+surface+area
452,452,Mwanza,9.467,km2,https://www.google.com/search?q=Mwanza+surface+area
453,453,Tiruchirappalli,167.2,km2,https://www.google.com/search?q=Tiruchirappalli+surface+area
454,454,Omsk,573,km2,https://www.google.com/search?q=Omsk+surface+area
457,457,Huaibei,2.741,km2,https://www.google.com/search?q=Huaibei+surface+area
458,458,Lilongwe,727.8,km2,https://www.google.com/search?q=Lilongwe+surface+area
459,459,Nanyang Henan,26.591,km2,https://www.google.com/search?q=Nanyang+Henan+surface+area
460,460,Jinhua,10.926,km2,https://www.google.com/search?q=Jinhua+surface+area
462,462,Kigali,730,km2,https://www.google.com/search?q=Kigali+surface+area
463,463,Tripoli,1.507,km2,https://www.google.com/search?q=Tripoli+surface+area
464,464,Chandigarh,114,km2,https://www.google.com/search?q=Chandigarh+surface+area
466,466,Islamabad,906.5,km2,https://www.google.com/search?q=Islamabad+surface+area
468,468,Amsterdam,219.3,km2,https://www.google.com/search?q=Amsterdam+surface+area
470,470,Haifa,63.66,km2,https://www.google.com/search?q=Haifa+surface+area
471,471,Guilin,27.797,km2,https://www.google.com/search?q=Guilin+surface+area
472,472,Krasnoyarsk,348,km2,https://www.google.com/search?q=Krasnoyarsk+surface+area
473,473,Mexicali,113.7,km2,https://www.google.com/search?q=Mexicali+surface+area
474,474,Ufa,707.9,km2,https://www.google.com/search?q=Ufa+surface+area
475,475,Rostov-on-Don,354,km2,https://www.google.com/search?q=Rostov-on-Don+surface+area
476,476,Hubli-Dharwad,404,km2,https://www.google.com/search?q=Hubli-Dharwad+surface+area
